date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:44:02	444379/444379	---MCZ	200	added ('OK')	image/svg+xml	etag:%221598941758%22	https://demo.w3layouts.com/demos_new/template_demo/01-09-2020/savepoor-liberty-demo_Free/1012221799/web/assets/fonts/fontawesome-webfont.svg?v=4.7.0	D:/Programes-files/Desktop/ychr.com/sss/demo.w3layouts.com/demos_new/template_demo/01-09-2020/savepoor-liberty-demo_Free/1012221799/web/assets/fonts/fontawesome-webfont3e6e.svg	(from https://demo.w3layouts.com/demos_new/template_demo/01-09-2020/savepoor-liberty-demo_Free/1012221799/web/assets/css/style-liberty.css)
13:44:02	182211/182211	---M--	200	added ('OK')	image/jpeg	etag:%221598941758%22	https://demo.w3layouts.com/demos_new/template_demo/01-09-2020/savepoor-liberty-demo_Free/1012221799/web/assets/images/banner1.jpg	D:/Programes-files/Desktop/ychr.com/sss/demo.w3layouts.com/demos_new/template_demo/01-09-2020/savepoor-liberty-demo_Free/1012221799/web/assets/images/banner1.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/01-09-2020/savepoor-liberty-demo_Free/1012221799/web/assets/css/style-liberty.css)
13:44:02	130238/130238	---M--	200	added ('OK')	image/jpeg	etag:%221598941758%22	https://demo.w3layouts.com/demos_new/template_demo/01-09-2020/savepoor-liberty-demo_Free/1012221799/web/assets/images/banner2.jpg	D:/Programes-files/Desktop/ychr.com/sss/demo.w3layouts.com/demos_new/template_demo/01-09-2020/savepoor-liberty-demo_Free/1012221799/web/assets/images/banner2.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/01-09-2020/savepoor-liberty-demo_Free/1012221799/web/assets/css/style-liberty.css)
13:44:02	228890/228890	---M--	200	added ('OK')	image/jpeg	etag:%221598941758%22	https://demo.w3layouts.com/demos_new/template_demo/01-09-2020/savepoor-liberty-demo_Free/1012221799/web/assets/images/banner3.jpg	D:/Programes-files/Desktop/ychr.com/sss/demo.w3layouts.com/demos_new/template_demo/01-09-2020/savepoor-liberty-demo_Free/1012221799/web/assets/images/banner3.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/01-09-2020/savepoor-liberty-demo_Free/1012221799/web/assets/css/style-liberty.css)
13:44:03	216738/216738	---M--	200	added ('OK')	image/jpeg	etag:%221598941758%22	https://demo.w3layouts.com/demos_new/template_demo/01-09-2020/savepoor-liberty-demo_Free/1012221799/web/assets/images/banner4.jpg	D:/Programes-files/Desktop/ychr.com/sss/demo.w3layouts.com/demos_new/template_demo/01-09-2020/savepoor-liberty-demo_Free/1012221799/web/assets/images/banner4.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/01-09-2020/savepoor-liberty-demo_Free/1012221799/web/assets/css/style-liberty.css)
13:44:03	12893/12893	---M--	200	added ('OK')	image/png	etag:%221598941758%22	https://demo.w3layouts.com/demos_new/template_demo/01-09-2020/savepoor-liberty-demo_Free/1012221799/web/assets/images/world-map.png	D:/Programes-files/Desktop/ychr.com/sss/demo.w3layouts.com/demos_new/template_demo/01-09-2020/savepoor-liberty-demo_Free/1012221799/web/assets/images/world-map.png	(from https://demo.w3layouts.com/demos_new/template_demo/01-09-2020/savepoor-liberty-demo_Free/1012221799/web/assets/css/style-liberty.css)
13:44:04	2529/2529	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Oct%202022%2008:44:02%20GMT	https://demo.w3layouts.com/demos_new/template_demo/01-09-2020/savepoor-liberty-demo_Free/1012221799/web/assets/css/owl.video.play.png	D:/Programes-files/Desktop/ychr.com/sss/demo.w3layouts.com/demos_new/template_demo/01-09-2020/savepoor-liberty-demo_Free/1012221799/web/assets/css/owl.video.play.png	(from https://demo.w3layouts.com/demos_new/template_demo/01-09-2020/savepoor-liberty-demo_Free/1012221799/web/assets/css/style-liberty.css)
13:44:04	141548/141548	---M--	200	added ('OK')	image/jpeg	etag:%221598941758%22	https://demo.w3layouts.com/demos_new/template_demo/01-09-2020/savepoor-liberty-demo_Free/1012221799/web/assets/images/innerbanner.jpg	D:/Programes-files/Desktop/ychr.com/sss/demo.w3layouts.com/demos_new/template_demo/01-09-2020/savepoor-liberty-demo_Free/1012221799/web/assets/images/innerbanner.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/01-09-2020/savepoor-liberty-demo_Free/1012221799/web/assets/css/style-liberty.css)
13:44:04	75226/75226	---M--	200	added ('OK')	image/jpeg	etag:%221598941758%22	https://demo.w3layouts.com/demos_new/template_demo/01-09-2020/savepoor-liberty-demo_Free/1012221799/web/assets/images/about.jpg	D:/Programes-files/Desktop/ychr.com/sss/demo.w3layouts.com/demos_new/template_demo/01-09-2020/savepoor-liberty-demo_Free/1012221799/web/assets/images/about.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/01-09-2020/savepoor-liberty-demo_Free/1012221799/web/about.html)
13:44:04	16305/16305	---M--	200	added ('OK')	image/jpeg	etag:%221598941758%22	https://demo.w3layouts.com/demos_new/template_demo/01-09-2020/savepoor-liberty-demo_Free/1012221799/web/assets/images/team1.jpg	D:/Programes-files/Desktop/ychr.com/sss/demo.w3layouts.com/demos_new/template_demo/01-09-2020/savepoor-liberty-demo_Free/1012221799/web/assets/images/team1.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/01-09-2020/savepoor-liberty-demo_Free/1012221799/web/about.html)
